what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579334706
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1524579337473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579342347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579349856
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579351218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579352823
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524579353836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579355710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579363962
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524579364491
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524579365089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1524579370029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1524579370184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579370806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579431970
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524579433775
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524579433825
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1524579437489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1524579441266
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1524579442774
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524579443625
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1524579447925
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524579459902
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1524579459933
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524579461098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579463697
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579473091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579474452
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579505994
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524579508201
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524579508286
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1524579510164
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524579511105
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579554017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524579891380
